area_id,week,date,rain_mm,rain_8w_anomaly_pct,et0_anomaly,vacc_coverage,weeks_since_campaign,inbound_animals,inbound_external,inbound_from_outbreak_areas,farmer_reports,vet_reports,confirmed_outbreak,true_infected_herds,density_index,market_hub,border,reporting_prob,lat,lon,neighbour_outbreaks_4w
A00,0,2023-01-02,1.3,-55.87852494577006,1.163333333333334,0.40634429973680225,99.0,86.0,41.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,1,2023-01-09,1.0,-79.33159073935774,5.333999999999996,0.40024913524075023,99.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,2,2023-01-16,0.2,-85.11747274843898,5.949999999999996,0.394245398212139,99.0,69.0,43.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,3,2023-01-23,0.1,-87.00911881959401,6.8089999999999975,0.38833171723895693,99.0,115.0,59.0,0.0,0.0,1.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,4,2023-01-30,0.2,-90.43141684801569,8.618000000000002,0.38250674148037256,99.0,109.0,82.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,5,2023-02-06,0.9,-91.19996003225968,7.186,0.37676914035816694,99.0,60.0,40.0,0.0,1.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,6,2023-02-13,0.1,-91.76960186608704,8.96,0.3711176032527944,99.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,7,2023-02-20,0.4,-92.54049321465052,9.207999999999998,0.3655508392040025,99.0,63.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,8,2023-02-27,5.9,-90.00691011534576,4.199999999999996,0.36006757661594246,99.0,117.0,66.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,9,2023-03-06,0.5,-89.60286347366626,3.907999999999994,0.35466656296670335,99.0,63.0,29.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
A00,10,2023-03-13,12.1,-82.86233117693791,-2.414999999999999,0.3493465645222028,99.0,133.0,49.0,0.0,0.0,0.0,0.0,0.0,1.1,1,0,0.45,-1.08,35.87,0.0
